sn,time,msg,server_model
1ba36d90569f,2020/7/23 13:07, OS Critical Stop OS Status | OS graceful shutdown | Asserted,SM13
1ba36d90569f,2020/7/23 13:07, System ACPI Power State Power Status | Legacy OFF state | Asserted,SM13
1ba36d90569f,2020/7/23 13:09, System Boot Initiated System Restart | System Restart | Asserted,SM13
1ba36d90569f,2020/7/23 13:08, System ACPI Power State Power Status | Legacy ON state | Asserted,SM13
1ba36d90569f,2020/7/23 11:02, Memory MEM_CHD1_Status | Correctable ECC | Asserted,SM13
1ba36d90569f,2020/7/23 13:08, Memory MEM_CHD1_Status | Correctable ECC | Deasserted,SM13
1ba36d90569f,2020/7/23 13:11, OS Boot BIOS_Boot_Up | boot completed - device not specified | Asserted,SM13
1bc3394059e2,2020/3/4 17:24, System ACPI Power State ACPI_PWR_Status | S4/S5: soft-off | Asserted,SM16
1bd196476327,2020/9/27 11:00," Power Supply PS1_Status | AC out-of-range, but present | Asserted",SM66
1bef9bec1b35,2020/11/13 1:38, Memory CPU0D0_DIMM_Stat | Correctable ECC | Asserted,SM27
1bef9bec1b35,2020/11/13 8:38, Memory CPU0D0_DIMM_Stat | Correctable ECC | Asserted,SM27
1bef9bec1b35,2020/11/13 6:27, Memory CPU0D0_DIMM_Stat | Correctable ECC | Asserted,SM27
1bef9bec1b35,2020/11/13 8:29, Memory CPU0D0_DIMM_Stat | Correctable ECC | Asserted,SM27
1c201fdef983,2020/3/13 8:53, Memory CPU0A0_DIMM_Stat | Correctable ECC | Asserted,SM35
1c201fdef983,2020/3/13 10:13, Memory CPU0A0_DIMM_Stat | Correctable ECC | Asserted,SM35
1c4a3c906aab,2020/9/22 19:12, System Boot Initiated #0xe0 | Initiated by power up | Asserted,SM67
1c63e65250eb,2020/6/20 11:44, Power Unit Pwr Unit Status | Power off/down | Asserted,SM83
1c63e65250eb,2020/6/20 11:46, System Event #0xff | Timestamp Clock Sync | Asserted,SM83
1c63e65250eb,2020/6/20 10:12, Power Unit Pwr Unit Status | Power off/down | Deasserted,SM83
1c63e65250eb,2020/6/20 10:12, System Event #0xff | Timestamp Clock Sync | Asserted,SM83
1c63e65250eb,2020/6/20 10:10, Unknown CPU0 MCERR |  | Deasserted,SM83
1c63e65250eb,2020/6/20 11:46, Power Unit Pwr Unit Status | Power off/down | Deasserted,SM83
1c63e65250eb,2020/6/20 10:10, Unknown CPU0 CATERR |  | Deasserted,SM83
1c63e65250eb,2020/6/20 10:06, Unknown CPU0 MCERR |  | Asserted,SM83
1c63e65250eb,2020/6/20 10:10, Power Unit Pwr Unit Status | Power off/down | Asserted,SM83
1c63e65250eb,2020/6/20 10:24, System Boot Initiated | Initiated by power up | Asserted,SM83
1c63e65250eb,2020/6/20 10:06, Unknown CPU0 CATERR |  | Asserted,SM83
1c63e65250eb,2020/6/20 11:46, System Boot Initiated | Initiated by power up | Asserted,SM83
1c63e65250eb,2020/6/20 10:24, System Event #0xff | Timestamp Clock Sync | Asserted,SM83
1c6cd719848d,2020/7/7 18:51," Power Supply PS2_Status | AC out-of-range, but present | Asserted",SM66
1c98e42312fa,2020/9/21 0:48, Memory CPU0A0_DIMM_Stat | Uncorrectable ECC | Deasserted,SM23
1c98e42312fa,2020/9/21 0:47, Memory CPU0A0_DIMM_Stat | Uncorrectable ECC | Asserted,SM23
1c98e42312fa,2020/9/21 0:47, Processor CPU0_Status | Configuration Error | Asserted,SM23
1c98e42312fa,2020/9/21 0:48, Processor CPU0_Status | Configuration Error | Deasserted,SM23
1c98e42312fa,2020/9/21 0:47, Processor CPU0_Status | Configuration Error | Asserted,SM23
1c98e42312fa,2020/9/21 0:47, Memory CPU0A0_DIMM_Stat | Uncorrectable ECC | Asserted,SM23
1cadf1ff17e7,2020/10/26 21:31, Drive Slot / Bay HDD_L_2_Status | Drive Fault | Asserted,SM53
1cadf1ff17e7,2020/10/26 21:34, Drive Slot / Bay HDD_L_2_Status | Drive Fault | Deasserted,SM53
1cb268c88683,2020/8/20 20:45, Memory #0xe2 | Correctable ECC | Asserted,SM51
1cb268c88683,2020/8/20 21:19, Memory #0xe2 | Correctable ECC | Asserted,SM51
1cbd6fc08ff5,2020/8/5 3:14, Memory CPU0E0_DIMM_Stat | Uncorrectable ECC | Asserted,SM35
1cbd6fc08ff5,2020/8/5 3:14, Memory CPU0E0_DIMM_Stat | Uncorrectable ECC | Asserted,SM35
1cbd6fc08ff5,2020/8/5 3:14, Processor CPU0_Status | Configuration Error | Asserted,SM35
1cbd6fc08ff5,2020/8/5 3:14, Processor CPU0_Status | Configuration Error | Asserted,SM35
1cbd6fc08ff5,2020/8/5 3:14, Processor CPU0_Status | Configuration Error | Asserted,SM35
1cbd6fc08ff5,2020/8/5 3:14, Processor CPU0_Status | Configuration Error | Asserted,SM35
1cbd6fc08ff5,2020/8/5 3:14, Memory CPU0E0_DIMM_Stat | Uncorrectable ECC | Asserted,SM35
1cbea1aaa3e9,2020/10/3 9:49, Memory #0xf9 | Uncorrectable ECC | Asserted,SM16
1d2f1ade13e0,2020/7/4 15:56, Processor CPU0_Status | Configuration Error | Asserted,SM103
1d2f1ade13e0,2020/7/4 15:56, Processor CPU_CATERR | Uncorrectable machine check exception | Asserted,SM103
1d2f1ade13e0,2020/7/4 15:57, System Boot Initiated #0xe0 | Initiated by warm reset | Asserted,SM103
1d3726db37fc,2020/3/6 14:26, Memory MEM_CHE0_Status | Correctable ECC | Asserted,SM13
1d819712d8b2,2020/8/19 7:22, Management Subsys Health System_Health | Sensor access degraded or unavailable | Asserted,SM54
1d819712d8b2,2020/8/19 7:22, Processor CPU0_Status | IERR | Asserted,SM54
1d86c157796f,2020/7/15 1:39, Microcontroller #0x3b | Transition to Running | Asserted,SM83
1d86c157796f,2020/7/15 13:04, Unknown CPU0 MCERR |  | Asserted,SM83
1d86c157796f,2020/7/15 13:04, Unknown CPU0 CATERR |  | Asserted,SM83
1dae9979407a,2020/8/4 11:09, System Boot Initiated #0xe0 | Initiated by power up | Asserted,SM68
1dca08bde0f8,2020/3/11 22:41, Memory #0xe2 | Uncorrectable ECC | Asserted,SM49
1dd5d5bf3df1,2020/4/27 11:59, Memory CPU1C0_DIMM_Stat | Correctable ECC | Asserted,SM35
1dd5d5bf3df1,2020/4/27 11:54, Memory CPU1C0_DIMM_Stat | Correctable ECC | Asserted,SM35
1deaf5e426e6,2020/5/19 17:47, Memory MEM_CHD0_Status | Correctable ECC | Asserted,SM13
1df9225e683f,2020/1/23 4:50, System Boot Initiated | Initiated by power up | Asserted,SM63
1df9225e683f,2020/1/23 4:36, Power Unit Pwr Unit Status | Power off/down | Asserted,SM63
1df9225e683f,2020/1/23 4:50, System Event #0xff | Timestamp Clock Sync | Asserted,SM63
1df9225e683f,2020/1/23 4:42, System Event #0xff | Timestamp Clock Sync | Asserted,SM63
1df9225e683f,2020/1/23 4:42, Power Unit Pwr Unit Status | Power off/down | Deasserted,SM63
1e44a7bf74aa,2020/11/17 0:28, Memory CPU0E0_DIMM_Stat | Correctable ECC | Asserted,SM27
1e44a7bf74aa,2020/1/28 17:33, Memory CPU0B0_DIMM_Stat | Correctable ECC | Asserted,SM27
1e44a7bf74aa,2020/11/17 0:31, Memory CPU0E0_DIMM_Stat | Correctable ECC | Asserted,SM27
1e50e30ceeb6,2020/7/29 7:20, System Boot Initiated BIOS_Boot_Up | Initiated by warm reset | Asserted,SM16
1e50e30ceeb6,2020/7/29 7:25, OS Boot #0xe9 | boot completed - device not specified | Asserted,SM16
1e50e30ceeb6,2020/7/29 7:19, System Event #0x10 | Timestamp Clock Sync | Asserted,SM16
1e50e30ceeb6,2020/7/29 7:25, System Boot Initiated BIOS_Boot_Up | Initiated by warm reset | Asserted,SM16
1e50e30ceeb6,2020/7/29 7:20, OS Boot #0xe9 | boot completed - device not specified | Asserted,SM16
1e50e30ceeb6,2020/7/29 7:20, System Event #0x10 | Timestamp Clock Sync | Asserted,SM16
1e50e30ceeb6,2020/7/29 7:17, Memory #0xf9 | Uncorrectable ECC | Asserted,SM16
1eaba6f8d7c9,2020/3/25 11:24, System Boot Initiated BIOS_Boot_Up | Initiated by power up | Asserted,SM16
1eaf01ea6c40,2020/3/19 9:23, System Boot Initiated #0xe0 | Initiated by hard reset | Asserted,SM49
1eaf01ea6c40,2020/3/19 9:17, Memory #0xe2 | Uncorrectable ECC | Asserted,SM49
1eb3fbec2844,2020/4/17 13:03, Memory CPU1F0_DIMM_Stat | Correctable ECC | Asserted,SM23
1eb3fbec2844,2020/4/17 13:01, Memory CPU1F0_DIMM_Stat | Correctable ECC | Asserted,SM23
1eda0fd0c394,2020/5/13 5:08, Memory #0x87 | Correctable ECC | Asserted,SM92
1eda0fd0c394,2020/5/13 5:09, Memory #0x87 | Correctable ECC | Asserted,SM92
1eda0fd0c394,2020/5/13 5:11, Memory #0x87 | Correctable ECC | Asserted,SM92
1eda0fd0c394,2020/5/13 5:18, Memory #0x87 | Correctable ECC | Asserted,SM92
1eda0fd0c394,2020/5/13 5:07, Memory #0x87 | Correctable ECC | Asserted,SM92
1eda0fd0c394,2020/5/13 5:15, Memory #0x87 | Correctable ECC | Asserted,SM92
1eda0fd0c394,2020/5/13 5:24, Memory #0x87 | Correctable ECC | Asserted,SM92
1eda0fd0c394,2020/5/13 5:18, Memory #0x87 | Correctable ECC | Asserted,SM92
1ee62896e58f,2020/5/20 15:04, Unknown #0x17 |  | Asserted,SM23
1ee62896e58f,2020/5/20 15:04, Unknown #0xc5 |  | Asserted,SM23
1ee62896e58f,2020/5/20 15:04, Processor CPU_CATERR | State Asserted | Asserted,SM23
1f0d79d2f5c4,2020/6/3 22:48, Memory #0x87 | Correctable ECC | Asserted,SM92
1f0d79d2f5c4,2020/6/3 22:51, Memory #0x87 | Correctable ECC | Asserted,SM92
1f1340dab070,2020/7/15 17:30, Memory #0xf9 | Uncorrectable ECC | Asserted,SM24
1f1340dab070,2020/7/15 17:33, System Event #0x10 | Timestamp Clock Sync | Asserted,SM24
1f1340dab070,2020/7/15 17:31, System Event #0x10 | Timestamp Clock Sync | Asserted,SM24
1f1aab83b415,2020/7/19 0:38, System Boot Initiated | Initiated by power up | Asserted,SM63
1f1aab83b415,2020/7/19 0:38, System Event #0xff | Timestamp Clock Sync | Asserted,SM63
1f1aab83b415,2020/7/19 0:38, Microcontroller #0x3b | Transition to Running | Asserted,SM63
1f1aab83b415,2020/7/19 0:38, Microcontroller/Coprocessor #0x3b | Transition to Running | Asserted,SM63
1f1e64e30e37,2020/4/10 16:20, Processor CPU_CATERR | State Asserted | Asserted,SM23
1f3c609eb26f,2020/7/29 1:08, Processor CPU1_Status | IERR | Asserted,SM35
1f895b8c72df,2020/5/22 18:23, Memory #0x87 | Correctable ECC | Asserted,SM92
1f895b8c72df,2020/5/22 18:20, Memory #0x87 | Correctable ECC | Asserted,SM92
1f96ba181253,2020/11/20 23:56, Memory CPU0D0_DIMM_Stat | Uncorrectable ECC | Asserted,SM23
1f96ba181253,2020/11/20 23:56, Processor CPU0_Status | Configuration Error | Asserted,SM23
1fb2f761c3ae,2020/1/21 5:17, Power Supply PS3_Status | Power Supply AC lost | Asserted,SM67
1fc764608ef9,2019/12/31 7:50, Memory #0xe2 | Correctable ECC | Asserted,SM50
1fc764608ef9,2019/12/31 16:39, Memory #0xe2 | Correctable ECC | Asserted,SM50
1fe5d3872b71,2020/11/19 12:05, Drive Slot / Bay DISK17_Stat | Drive Fault | Asserted,SM27
1ff6da44052a,2020/2/20 16:33, Memory CPU1C0_DIMM_Stat | Memory Device Disabled | Asserted,SM35
1ff9a70fcd0a,2020/7/19 11:38, Memory #0xe2 | Correctable ECC | Asserted,SM51
1ff9a70fcd0a,2020/7/19 11:18, Memory #0xe2 | Correctable ECC | Asserted,SM51
200b19db82c0,2020/1/25 5:49, Drive Slot / Bay DISK23_Stat | Drive Fault | Asserted,SM27
200b19db82c0,2020/1/25 5:49, Drive Slot DISK23_Stat | Drive Fault | Asserted,SM27
202c4a173a13,2020/1/18 15:54, Unknown #0x17 |  | Asserted,SM16
202c4a173a13,2020/1/18 15:54, Processor CPU_CATERR | State Asserted | Asserted,SM16
203e008582e3,2020/4/11 2:35, System ACPI Power State #0x7d | S4/S5: soft-off | Asserted,SM100
203e008582e3,2020/4/11 2:32, System Boot Initiated BIOS_Boot_Up | Initiated by warm reset | Asserted,SM100
203e008582e3,2020/4/11 2:35, System Boot Initiated BIOS_Boot_Up | Initiated by warm reset | Asserted,SM100
203e008582e3,2020/4/11 2:35, Processor CPU_Core_Error | Correctable machine check error | Asserted,SM100
203e008582e3,2020/4/11 2:35, OEM record c2 | 001c4c | 00000f000500,SM100
203e008582e3,2020/4/11 2:35, System ACPI Power State #0x7d | S0/G0: working | Asserted,SM100
203e008582e3,2020/4/11 2:35, System Boot Initiated BIOS_Boot_Up | Initiated by warm reset | Asserted,SM100
203e008582e3,2020/4/11 2:32, Unknown Chassis_control |  | Asserted,SM100
205905e3e27d,2020/5/28 14:05, Memory MEM_CHE0_Status | Correctable ECC | Asserted,SM13
206621827ebb,2020/4/1 2:04, Memory #0xe2 | Correctable ECC | Asserted,SM49
206621827ebb,2020/3/10 20:58, Processor CPU_CATERR | State Asserted | Asserted,SM49
2075408881cc,2020/6/26 16:54, OS Boot #0xe0 | boot completed - device not specified | Asserted,SM51
2075408881cc,2020/6/26 16:53, System Boot Initiated #0xe0 | Initiated by hard reset | Asserted,SM51
207cae84b544,2020/5/31 2:41, Memory #0xe2 | Correctable ECC | Asserted,SM50
207cae84b544,2020/5/31 1:53, Memory #0xe2 | Correctable ECC | Asserted,SM50
20865d46ea20,2020/7/24 12:36, System ACPI Power State ACPI_PWR_Status | S4/S5: soft-off | Asserted,SM35
20865d46ea20,2020/7/24 12:36, Processor CPU0_Status | IERR | Deasserted,SM35
20865d46ea20,2020/7/24 12:41, System Boot Initiated BIOS_Boot_Up | Initiated by warm reset | Asserted,SM35
20865d46ea20,2020/7/24 12:33, Processor CPU0_Status | IERR | Asserted,SM35
20865d46ea20,2020/7/24 12:33, Processor CPU1_Status | IERR | Asserted,SM35
20865d46ea20,2020/7/24 12:37, System ACPI Power State ACPI_PWR_Status | S0/G0: working | Asserted,SM35
20865d46ea20,2020/7/24 12:36, Processor CPU1_Status | IERR | Deasserted,SM35
20b6f046d803,2020/3/2 9:02, Processor CPU1_Status | Presence detected | Asserted,SM23
20b6f046d803,2020/3/2 9:02, System ACPI Power State ACPI_PWR_Status | S0/G0: working | Asserted,SM23
20b6f046d803,2020/3/2 9:03, Power Supply PS1_Status | Presence detected | Asserted,SM23
20b6f046d803,2020/3/2 9:02, Processor CPU0_Status | Presence detected | Asserted,SM23
20b6f046d803,2020/3/2 9:02, Microcontroller BMC_Boot_Up | Device Enabled | Asserted,SM23
20b6f046d803,2020/3/2 19:38, Memory CPU1D0_DIMM_Stat | Correctable ECC | Asserted,SM23
20b6f046d803,2020/3/2 9:03, Power Supply PS2_Status | Presence detected | Asserted,SM23
20b6f046d803,2020/3/2 10:12, Memory CPU1D0_DIMM_Stat | Correctable ECC | Asserted,SM23
20b8dd870b95,2020/3/27 23:37, Memory #0xf9 | Correctable ECC | Asserted,SM16
20ce1b784686,2020/8/4 21:35, System Boot Initiated #0xe0 | Initiated by power up | Asserted,SM65
20ce1b784686,2020/8/4 21:21, Processor #0x7c | Configuration Error | Asserted,SM65
210ad760daa0,2020/10/27 18:37, System Boot Initiated #0xe0 | Initiated by warm reset | Asserted,SM15
210ad760daa0,2020/10/27 18:37, System Boot Initiated #0xe0 | Initiated by warm reset () | Asserted,SM15
210d21ba4c93,2020/8/8 17:13, Processor CPU_CATERR | State Asserted | Asserted,SM23
210d21ba4c93,2020/8/8 17:13, Unknown #0x17 |  | Asserted,SM23
213b9dc367af,2020/3/24 16:20, Temperature MELX Temp | Upper Non-critical going high | Asserted | Reading 98 &gt; Threshold 98 degrees C,SM63
213b9dc367af,2020/3/24 16:34, Temperature MELX Temp | Upper Critical going high | Deasserted | Reading 96 &gt; Threshold 99 degrees C,SM63
213b9dc367af,2020/3/24 16:35, Temperature MELX Temp | Upper Non-critical going high | Deasserted | Reading 95 &gt; Threshold 98 degrees C,SM63
213b9dc367af,2020/3/24 16:24, Temperature MELX Temp | Upper Critical going high | Asserted | Reading 99 &gt; Threshold 99 degrees C,SM63
215284f103a0,2020/10/21 12:52, Memory MEM_CHA0_Status | Correctable ECC | Asserted,SM13
216897f86893,2020/9/23 11:26, Power Supply PS4_Status | Power Supply AC lost | Asserted,SM67
217de3ae1729,2020/6/2 0:00, Processor CPU0_Status | IERR | Asserted,SM35
217e87ed469f,2020/4/26 4:26, Processor CPU_CATERR | Uncorrectable machine check exception | Asserted,SM100
217e87ed469f,2020/4/26 4:27, Temperature Temp_DIMM_DEF | Upper Critical going high | Deasserted | Reading 40 &gt; Threshold 86 degrees C,SM100
217e87ed469f,2020/4/26 4:27, Temperature Temp_DIMM_DEF | Upper Critical going high | Asserted | Reading 110 &gt; Threshold 86 degrees C,SM100
217e87ed469f,2020/4/26 4:27, Temperature Temp_DIMM_KLM | Upper Critical going high | Deasserted | Reading -7 &gt; Threshold 86 degrees C,SM100
217e87ed469f,2020/4/26 4:26, Processor CPU_CATERR | Uncorrectable machine check exception | Asserted,SM100
217e87ed469f,2020/4/26 4:27, Temperature Temp_DIMM_KLM | Upper Critical going high | Asserted | Reading 101 &gt; Threshold 86 degrees C,SM100
21a906be083f,2020/11/19 10:14, Power Supply PS2_Status | Failure detected | Asserted,SM23
21b81b309a39,2020/8/4 1:27, Memory Memory_Status | Correctable ECC | Asserted,SM95
21b81b309a39,2020/8/4 3:32, Memory Memory_Status | Correctable ECC | Asserted,SM95
21c7aa68f002,2020/4/23 23:20, Memory #0xe2 | Correctable ECC | Asserted,SM49
21c7aa68f002,2020/4/23 19:15, Memory #0xe2 | Correctable ECC | Asserted,SM49
21c8ae6ccfa4,2020/2/25 19:51, OS Boot BIOS_Boot_Up | boot completed - device not specified | Asserted,SM13
21c8ae6ccfa4,2020/2/25 19:48, System Boot Initiated System Restart | System Restart | Asserted,SM13
21f9110a0d73,2020/2/18 5:18, OS Critical Stop OS Status | OS graceful shutdown | Asserted,SM13
21f9110a0d73,2020/2/18 5:18, OS Stop/Shutdown OS Status | OS graceful shutdown | Asserted,SM13
21f9110a0d73,2020/2/18 5:20, OS Boot BIOS_Boot_Up | boot completed - device not specified | Asserted,SM13
21f9110a0d73,2020/2/18 5:18, System Boot Initiated System Restart | System Restart | Asserted,SM13
21ff7fc9268c,2020/8/14 5:46, Memory CPU1B0_DIMM_Stat | Correctable ECC | Asserted,SM23
221fa9be7b74,2020/1/21 13:14, Memory #0xe2 | Correctable ECC | Asserted,SM66
221fa9be7b74,2020/1/21 13:14, Memory #0xe2 | Correctable ECC | Asserted,SM66
221fa9be7b74,2020/1/21 13:15, Memory #0xe2 | Correctable ECC | Asserted,SM66
222d02bad9c2,2020/11/4 17:23, System Boot Initiated #0xe0 | Initiated by power up | Asserted,SM68
222d02bad9c2,2020/11/4 17:03, System ACPI Power State ACPI_PWR_Status | S0/G0: working | Asserted,SM68
222d02bad9c2,2020/11/4 17:03, System Boot Initiated #0xe0 | Initiated by power up | Asserted,SM68
222d02bad9c2,2020/11/4 17:03, Unknown Chassis_Control |  | Asserted,SM68
222d02bad9c2,2020/11/4 17:23, Processor #0x7c | Configuration Error | Asserted,SM68
222d02bad9c2,2020/11/4 17:03, System ACPI Power State ACPI_PWR_Status | S4/S5: soft-off | Asserted,SM68
223df9ead809,2020/7/18 5:46, Memory CPU1C0_DIMM_Stat | Uncorrectable ECC | Asserted,SM23
223df9ead809,2020/7/18 5:46, Processor CPU1_Status | Configuration Error | Asserted,SM23
225e7e2791f4,2020/8/7 6:01, Power Supply PS2_Status | Power Supply AC lost | Asserted,SM27
22892973ebae,2020/3/29 6:42, Memory Memory_Status | Correctable ECC | Asserted,SM100
22c1598b6cdf,2020/2/22 13:59, Memory #0xe2 | Correctable ECC | Asserted,SM69
22d0f8778949,2020/7/9 10:01, Power Supply PS1_Status | Power Supply AC lost | Asserted,SM16
232722500a21,2020/7/16 11:57, Memory #0xf9 | Correctable ECC | Asserted,SM17
232722500a21,2020/7/16 8:57, Memory #0xf9 | Correctable ECC | Asserted,SM17
2331e23fc015,2020/2/15 9:00, Memory DIMM030_Stat | Correctable ECC | Asserted,SM53
2331e23fc015,2020/2/15 10:05, Memory DIMM030_Stat | Correctable ECC | Asserted,SM53
2346b896bbb1,2020/5/15 3:09, OS Boot #0xe0 | boot completed - device not specified | Asserted,SM51
2346b896bbb1,2020/5/15 7:44, System Boot Initiated #0xe0 | Initiated by hard reset | Asserted,SM51
2346b896bbb1,2020/5/15 10:06, Memory #0xe2 | Uncorrectable ECC | Asserted,SM51
234cd860426f,2020/5/13 10:05, Memory DIMM020 | Correctable ECC logging limit reached | Asserted,SM6
236a9caee155,2020/3/13 5:30, Processor CPU0_Status | IERR | Asserted,SM35
236a9caee155,2020/3/13 6:33, Management Subsys Health System_Health | Sensor access degraded or unavailable | Deasserted,SM35
236a9caee155,2020/3/13 5:24, Management Subsys Health System_Health | Sensor access degraded or unavailable | Deasserted,SM35
236a9caee155,2020/3/13 6:33, System ACPI Power State ACPI_PWR_Status | S4/S5: soft-off | Asserted,SM35
236a9caee155,2020/3/13 6:33, Processor CPU0_Status | IERR | Deasserted,SM35
236a9caee155,2020/3/13 6:33, System ACPI Power State ACPI_PWR_Status | S0/G0: working | Asserted,SM35
236a9caee155,2020/3/13 6:36, System Boot Initiated BIOS_Boot_Up | Initiated by power up | Asserted,SM35
236a9caee155,2020/3/13 6:34, Processor CPU0_Status | Configuration Error | Deasserted,SM35
236a9caee155,2020/3/13 5:24, Management Subsys Health System_Health | Sensor access degraded or unavailable | Asserted,SM35
236a9caee155,2020/3/13 5:30, Processor CPU0_Status | Configuration Error | Asserted,SM35
236a9caee155,2020/3/13 5:29, Management Subsys Health System_Health | Sensor access degraded or unavailable | Asserted,SM35
239953e88aac,2020/9/9 4:56, Processor CPU_CATERR | State Deasserted,SM16
239953e88aac,2020/9/9 3:54, Unknown #0x17 |,SM16
239953e88aac,2020/9/9 3:54, Processor CPU_CATERR | State Asserted,SM16
239953e88aac,2020/9/9 4:56, System ACPI Power State ACPI_PWR_Status | S4/S5: soft-off | Asserted,SM16
239953e88aac,2020/9/9 4:56, Microcontroller/Coprocessor #0x16 | Transition to Running,SM16
23ab30d47c11,2020/6/23 10:22, Power Supply PS3_Status | Power Supply AC lost | Asserted,SM92
23ab30d47c11,2020/6/23 10:23, Drive Slot HDD38 | Drive Present | Deasserted,SM92
23ab30d47c11,2020/6/23 10:24, Drive Slot HDD38 | Drive Present | Asserted,SM92
23ab30d47c11,2020/6/23 10:23, Power Supply PS3_Status | Power Supply AC lost | Deasserted,SM92
23dad80c6efb,2020/5/7 18:27, Drive Slot / Bay HDD_R_25_Status | Drive Fault | Deasserted,SM53
23dad80c6efb,2020/5/7 18:24, Drive Slot / Bay HDD_R_25_Status | Drive Fault | Asserted,SM53
2400e2286001,2020/4/19 0:32, Memory CPU1E0_DIMM_Stat | Correctable ECC | Asserted,SM23
2436076ec6c1,2020/2/4 7:07, Unknown Chassis_Control |  | Asserted,SM68
2436076ec6c1,2020/2/4 7:07, System ACPI Power State ACPI_PWR_Status | S4/S5: soft-off | Asserted,SM68
2436076ec6c1,2020/2/4 7:09, System ACPI Power State ACPI_PWR_Status | S0/G0: working | Asserted,SM68
2436076ec6c1,2020/2/4 7:09, Unknown Chassis_Control |  | Asserted,SM68
2436076ec6c1,2020/2/4 7:11, System Boot Initiated #0xe0 | Initiated by power up | Asserted,SM68
2436635a151e,2020/9/19 17:40, Memory CPU0B0_DIMM_Stat | Correctable ECC | Asserted,SM56
2436635a151e,2020/9/19 13:17, Memory CPU0B0_DIMM_Stat | Correctable ECC | Asserted,SM56
2445d15a906e,2020/5/17 5:09, Processor CPU1_Status | IERR | Asserted,SM35
2451e21afed2,2020/9/30 9:10, OS Boot #0xe9 | boot completed - device not specified | Asserted,SM16
2451e21afed2,2020/9/30 9:10, System Boot Initiated BIOS_Boot_Up | Initiated by warm reset | Asserted,SM16
2451e21afed2,2020/9/30 11:35, Processor CPU_CATERR | State Asserted | Asserted,SM16
24528c5a9ccb,2020/5/10 20:28, Memory #0xe2 | Correctable ECC | Asserted,SM67
24528c5a9ccb,2020/5/10 20:28, Memory #0xe2 | Correctable ECC | Asserted,SM67
247b46a3e33c,2020/7/2 5:27, Unknown CPU0 MCERR |  | Asserted,SM63
247b46a3e33c,2020/7/2 5:27, Unknown CPU0 CATERR |  | Asserted,SM63
24adef45b84b,2020/9/14 3:02, System Boot Initiated #0xe0 | Initiated by power up | Asserted,SM69
24d563053cfe,2020/2/7 23:43, Memory #0x87 | Correctable ECC | Asserted,SM92
24df4f335a3d,2020/5/13 18:48, OS Boot #0xe0 | boot completed - device not specified | Asserted,SM49
24df4f335a3d,2020/5/13 18:48, System Boot Initiated #0xe0 | Initiated by hard reset | Asserted,SM49
24df4f335a3d,2020/5/13 18:38, Memory #0xe2 | Uncorrectable ECC | Asserted,SM49
24f179684cf1,2020/3/18 10:01, Processor CPU1_Status | IERR | Asserted,SM35
24f179684cf1,2020/3/18 10:04, Processor CPU0_Status | IERR | Asserted,SM35
25020c265d8d,2020/5/19 23:39, Unknown CPU0 CATERR |  | Asserted,SM63
25020c265d8d,2020/5/19 23:39, Unknown CPU0 MCERR |  | Asserted,SM63
25071f501416,2020/6/6 20:00, Processor CPU0_Status | Configuration Error | Asserted,SM35
250e9290104b,2020/2/26 13:50, System ACPI Power State ACPI_PWR_Status | S4/S5: soft-off | Asserted,SM19
250e9290104b,2020/2/26 14:26, System ACPI Power State ACPI_PWR_Status | S0/G0: working | Asserted,SM19
250e9290104b,2020/2/26 14:09, System ACPI Power State ACPI_PWR_Status | S4/S5: soft-off | Asserted,SM19
250e9290104b,2020/2/26 14:27, System Boot Initiated BIOS_Boot_Up | Initiated by power up | Asserted,SM19
250e9290104b,2020/2/26 14:26, Button Button_Pressed | State Asserted | Asserted,SM19
250e9290104b,2020/2/26 14:03, System ACPI Power State ACPI_PWR_Status | S0/G0: working | Asserted,SM19
250e9290104b,2020/2/26 14:04, System Boot Initiated BIOS_Boot_Up | Initiated by power up | Asserted,SM19
255cd3a63072,2020/10/11 20:06, System Boot Initiated #0xe0 | Initiated by power up | Asserted,SM68
255cd3a63072,2020/9/24 17:41, Memory #0xe2 | Correctable ECC | Asserted,SM68
255cd3a63072,2020/10/11 19:57, Memory #0xe2 | Uncorrectable ECC | Asserted,SM68
255cd3a63072,2020/10/11 6:03, Memory #0xe2 | Correctable ECC | Asserted,SM68
2569000dd810,2020/11/6 3:14, Power Unit Pwr Unit Status | Power off/down | Deasserted,SM63
2569000dd810,2020/11/6 3:14, System Event #0xff | Timestamp Clock Sync | Asserted,SM63
2569000dd810,2020/11/6 3:08, Unknown CPU0 MCERR |  | Asserted,SM63
2569000dd810,2020/11/6 3:18, System Boot Initiated | Initiated by power up | Asserted,SM63
2569000dd810,2020/11/6 3:12, Unknown CPU0 CATERR |  | Deasserted,SM63
2569000dd810,2020/11/6 3:08, Unknown CPU0 CATERR |  | Asserted,SM63
2569000dd810,2020/11/6 3:18, System Event #0xff | Timestamp Clock Sync | Asserted,SM63
2569000dd810,2020/11/6 3:12, Unknown CPU0 MCERR |  | Deasserted,SM63
2569000dd810,2020/11/6 3:12, Power Unit Pwr Unit Status | Power off/down | Asserted,SM63
257f75a840fe,2020/7/31 1:04, System Boot Initiated BIOS_Boot_Up | Initiated by power up | Asserted,SM23
257f75a840fe,2020/7/31 1:02, Microcontroller #0x16 | Transition to Running | Asserted,SM23
